ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,7,b,120000.0,5800.0,3483.2,116516.8,10,9355996,rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 1 7
1,8,w,120000.0,5800.0,4944.9,115055.1,11,13164936,rnbq1rk1/ppp3pp/3bpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 2 8
2,8,b,117016.8,5665.8,4131.5,112885.2,11,10956982,rnbq1rk1/ppp3pp/3bpn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 3 8
3,9,w,115555.1,5600.0,4807.2,110747.9,11,12828608,rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 9
4,9,b,113385.2,5502.3,4712.2,108673.0,11,12681669,rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - - 0 9
5,10,w,111247.9,5406.2,4729.2,106518.6,11,12129595,r1bq1rk1/pp1n2pp/2pbpn2/3p1p2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - - 1 10
6,10,b,109173.0,5312.8,5091.7,104081.4,11,12828049,r1bq1rk1/pp1n2pp/2pbpn2/3p1p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b - - 2 10
7,11,w,107018.6,5215.8,4466.3,102552.4,11,11545668,r1bq1rk1/pp1n2pp/2pbp3/3p1p2/2PPn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - - 3 11
8,11,b,104581.4,5106.2,3889.6,100691.8,10,9912523,r1bq1rk1/pp1n2pp/2pbp3/3p1p2/2PPn3/1PN2NP1/PB2PPBP/2RQ1RK1 b - - 4 11
9,12,w,103052.4,5037.4,4293.5,98758.9,11,11475352,r1bq1rk1/p2n2pp/2pbp3/1p1p1p2/2PPn3/1PN2NP1/PB2PPBP/2RQ1RK1 w - - 0 12
10,12,b,101191.8,4953.6,4269.5,96922.3,12,12524155,r1bq1rk1/p2n2pp/2pbp3/1p1P1p2/3Pn3/1PN2NP1/PB2PPBP/2RQ1RK1 b - - 0 12
11,13,w,99258.9,4866.6,4418.7,94840.1,12,12126176,r1bq1rk1/p2n2pp/2pbp3/1p1P1p2/3P4/1Pn2NP1/PB2PPBP/2RQ1RK1 w - - 0 13
12,13,b,97422.3,4784.0,4279.2,93143.1,12,12234838,r1bq1rk1/p2n2pp/2pbp3/1p1P1p2/3P4/1PR2NP1/PB2PPBP/3Q1RK1 b - - 0 13
13,14,w,95340.1,4690.3,4127.5,91212.6,11,10898001,r1bq1rk1/p2n2pp/3bp3/1p1p1p2/3P4/1PR2NP1/PB2PPBP/3Q1RK1 w - - 0 14
14,14,b,93643.1,4613.9,2434.6,91208.5,11,6886035,r1bq1rk1/p2n2pp/3bp3/1p1p1p2/3P4/1PR1PNP1/PB3PBP/3Q1RK1 b - - 0 14
15,15,w,91712.6,4527.1,3988.7,87723.9,11,10936243,r2q1rk1/pb1n2pp/3bp3/1p1p1p2/3P4/1PR1PNP1/PB3PBP/3Q1RK1 w - - 1 15
16,15,b,91708.5,4526.9,2604.6,89103.9,11,7308634,r2q1rk1/pb1n2pp/3bp3/1p1p1p2/3P4/1P2PNP1/PB3PBP/2RQ1RK1 b - - 2 15
17,16,w,88223.9,4370.1,2811.2,85412.7,11,7500174,r2q1rk1/pb1n2pp/3bp3/3p1p2/1p1P4/1P2PNP1/PB3PBP/2RQ1RK1 w - - 0 16
18,16,b,89603.9,4432.2,2684.7,86919.1,10,6551820,r2q1rk1/pb1n2pp/3bp3/3pNp2/1p1P4/1P2P1P1/PB3PBP/2RQ1RK1 b - - 1 16
19,17,w,85912.7,4266.1,3633.5,82279.3,11,9682567,2rq1rk1/pb1n2pp/3bp3/3pNp2/1p1P4/1P2P1P1/PB3PBP/2RQ1RK1 w - - 2 17
20,17,b,87419.1,4333.9,13296.0,74123.1,12,34836460,2Rq1rk1/pb1n2pp/3bp3/3pNp2/1p1P4/1P2P1P1/PB3PBP/3Q1RK1 b - - 0 17
21,18,w,82779.3,4125.1,2497.9,80281.4,11,6571499,2q2rk1/pb1n2pp/3bp3/3pNp2/1p1P4/1P2P1P1/PB3PBP/3Q1RK1 w - - 0 18
22,18,b,74623.1,3758.0,3236.4,71386.7,11,8714950,2q2rk1/pb1n2pp/3bp3/3pNp2/1p1P4/1P2P1P1/PB3PBP/Q4RK1 b - - 1 18
23,19,w,80781.4,4035.2,3470.3,77311.0,11,9026441,2q2rk1/1b1n2pp/3bp3/p2pNp2/1p1P4/1P2P1P1/PB3PBP/Q4RK1 w - - 0 19
24,19,b,71886.7,3634.9,2464.2,69422.5,11,6881710,2q2rk1/1b1n2pp/3bp3/p2pNp2/1p1P4/1P2P1P1/PB3PBP/Q1R3K1 b - - 1 19
25,20,w,77811.0,3901.5,3342.9,74468.1,12,9670609,3q1rk1/1b1n2pp/3bp3/p2pNp2/1p1P4/1P2P1P1/PB3PBP/Q1R3K1 w - - 2 20
