ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,4977.2,115022.8,10,11171010,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3864.5,116135.5,10,8957689,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,115522.8,5598.5,5708.6,109814.2,10,13388799,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116635.5,5648.6,6055.5,110580.1,11,13888871,r2qkb1r/1p3pp1/p1n1bn1p/3pp3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 11
4,11,b,110314.2,5364.1,5069.7,105244.5,11,11933976,r2qkb1r/1p3pp1/p1n1bn1p/3Pp3/8/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 0 11
5,12,w,111080.1,5398.6,4871.9,106208.2,11,11367288,r2qkb1r/1p3pp1/p1n1b2p/3np3/8/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 12
6,12,b,105744.5,5158.5,4291.0,101453.5,10,10326999,r2qkb1r/1p3pp1/p1n1b2p/3Np3/8/N3BP2/PPP3PP/R2QKB1R b KQkq - 0 12
7,13,w,106708.2,5201.9,4658.5,102049.7,10,10578834,r2qkb1r/1p3pp1/p1n4p/3bp3/8/N3BP2/PPP3PP/R2QKB1R w KQkq - 0 13
8,13,b,101953.5,4987.9,4582.0,97371.5,10,11028254,r2qkb1r/1p3pp1/p1n4p/3bp3/2N5/4BP2/PPP3PP/R2QKB1R b KQkq - 1 13
9,14,w,102549.7,5014.7,3901.3,98648.4,9,8906749,r2qkb1r/1p3pp1/p1n1b2p/4p3/2N5/4BP2/PPP3PP/R2QKB1R w KQkq - 2 14
10,14,b,97871.5,4804.2,4149.3,93722.2,10,10279761,r2qkb1r/1p3pp1/pNn1b2p/4p3/8/4BP2/PPP3PP/R2QKB1R b KQkq - 3 14
11,15,w,99148.4,4861.7,4145.1,95003.2,10,9739034,1r1qkb1r/1p3pp1/pNn1b2p/4p3/8/4BP2/PPP3PP/R2QKB1R w KQk - 4 15
12,15,b,94222.2,4640.0,4099.1,90123.2,10,9941945,1r1qkb1r/1p3pp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2QKB1R b KQk - 0 15
13,16,w,95503.2,4697.6,5301.5,90201.8,12,13568403,1r2kb1r/1p3pp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2qKB1R w KQk - 0 16
14,16,b,90623.2,4478.0,2611.7,88011.4,11,6816400,1r2kb1r/1p3pp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2K1B1R b k - 0 16
15,17,w,90701.8,4481.6,8275.0,82426.8,11,20560082,1r2k2r/1p2bpp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2K1B1R w k - 1 17
16,17,b,88511.4,4383.0,3777.8,84733.7,11,9871558,1r2k2r/1p2bpp1/pNn1b2p/4p3/8/2P1BP2/PPK3PP/R4B1R b k - 2 17
17,18,w,82926.8,4131.7,3621.8,79305.0,11,9332616,1r2k2r/1p3pp1/pNn1b2p/4p1b1/8/2P1BP2/PPK3PP/R4B1R w k - 3 18
18,18,b,85233.7,4235.5,7642.6,77591.1,12,19417539,1r2k2r/1p3pp1/pNn1b2p/4p1B1/8/2P2P2/PPK3PP/R4B1R b k - 0 18
19,19,w,79805.0,3991.2,4261.4,75543.5,12,10730745,1r2k2r/1p3pp1/pNn1b3/4p1p1/8/2P2P2/PPK3PP/R4B1R w k - 0 19
20,19,b,78091.1,3914.1,4634.8,73456.3,12,11897772,1r2k2r/1p3pp1/pNn1b3/4p1p1/2B5/2P2P2/PPK3PP/R6R b k - 1 19
21,20,w,76043.5,3822.0,4954.8,71088.7,13,12750077,1r2k2r/1p3pp1/pNn5/4pbp1/2B5/2P2P2/PPK3PP/R6R w k - 2 20
22,20,b,73956.3,3728.0,14437.2,59519.1,13,36785598,1r2k2r/1p3pp1/pNn5/4pbp1/8/2PB1P2/PPK3PP/R6R b k - 3 20
23,21,w,71588.7,3621.5,51693.0,19895.7,14,130624656,1r2k2r/1p3pp1/pNn5/4p1p1/8/2Pb1P2/PPK3PP/R6R w k - 0 21
24,21,b,60019.1,3100.9,1786.0,58233.1,12,4974366,1r2k2r/1p3pp1/pNn5/4p1p1/8/2PK1P2/PP4PP/R6R b k - 0 21
25,22,w,20395.7,1317.8,45822.0,-25426.4,14,120782409,3rk2r/1p3pp1/pNn5/4p1p1/8/2PK1P2/PP4PP/R6R w k - 1 22
