ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,6400.0,5456.7,114543.3,11,10938629,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,6400.0,4265.3,115734.7,11,8586975,r2qk2r/1p2bppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 4 10
2,10,b,115043.3,6152.2,5230.3,109813.1,12,11080960,r2qk2r/1p2bppp/p1npbn2/4p1B1/2B1P3/N1N2P2/PPP3PP/R2QK2R b KQkq - 5 10
3,11,w,116234.7,6211.7,4360.3,111874.4,12,9472010,r2qk2r/4bppp/p1npbn2/1p2p1B1/2B1P3/N1N2P2/PPP3PP/R2QK2R w KQkq - 0 11
4,11,b,110313.1,5915.7,4957.1,105356.0,13,10413094,r2qk2r/4bppp/p1npBn2/1p2p1B1/4P3/N1N2P2/PPP3PP/R2QK2R b KQkq - 0 11
5,12,w,112374.4,6018.7,3343.1,109031.3,12,7281097,r2qk2r/4b1pp/p1nppn2/1p2p1B1/4P3/N1N2P2/PPP3PP/R2QK2R w KQkq - 0 12
6,12,b,105856.0,5692.8,4839.7,101016.3,12,10220800,r2qk2r/4b1pp/p1nppn2/1p2p1B1/4P3/2N2P2/PPP3PP/RN1QK2R b KQkq - 1 12
7,13,w,109531.3,5876.6,4052.5,105478.8,13,8695100,r2qk2r/4b1pp/p1nppn2/4p1B1/1p2P3/2N2P2/PPP3PP/RN1QK2R w KQkq - 0 13
8,13,b,101516.3,5475.8,3097.4,98418.9,12,6739250,r2qk2r/4b1pp/p1nppn2/4p1B1/Np2P3/5P2/PPP3PP/RN1QK2R b KQkq - 1 13
9,14,w,105978.8,5698.9,4845.3,101133.5,12,10191360,r2qk2r/4b1pp/p1n1pn2/3pp1B1/Np2P3/5P2/PPP3PP/RN1QK2R w KQkq - 0 14
10,14,b,98918.9,5345.9,4545.0,94373.9,12,9823750,r2qk2r/4b1pp/p1n1pn2/3pp1B1/Np2P3/5P2/PPP3PP/RN1Q1RK1 b kq - 1 14
11,15,w,101633.5,5481.7,3944.6,97688.9,12,8685745,r2q1rk1/4b1pp/p1n1pn2/3pp1B1/Np2P3/5P2/PPP3PP/RN1Q1RK1 w - - 2 15
12,15,b,94873.9,5143.7,3872.4,91001.5,11,8636728,r2q1rk1/4b1pp/p1n1pn2/3pp1B1/Np2P3/5P2/PPPN2PP/R2Q1RK1 b - - 3 15
13,16,w,98188.9,5309.4,2794.8,95394.1,12,6344165,r2q1rk1/4b1pp/p1n1p3/3pp1Bn/Np2P3/5P2/PPPN2PP/R2Q1RK1 w - - 4 16
14,16,b,91501.5,4975.1,4229.3,87272.2,13,9584384,r2q1rk1/4B1pp/p1n1p3/3pp2n/Np2P3/5P2/PPPN2PP/R2Q1RK1 b - - 0 16
15,17,w,95894.1,5194.7,4416.1,91477.9,12,9781504,r4rk1/4q1pp/p1n1p3/3pp2n/Np2P3/5P2/PPPN2PP/R2Q1RK1 w - - 0 17
16,17,b,87772.2,4788.6,3119.1,84653.1,11,7415179,r4rk1/4q1pp/p1n1p3/3pp2n/Np2P3/P4P2/1PPN2PP/R2Q1RK1 b - - 0 17
17,18,w,91977.9,4998.9,4249.7,87728.2,12,9579275,3r1rk1/4q1pp/p1n1p3/3pp2n/Np2P3/P4P2/1PPN2PP/R2Q1RK1 w - - 1 18
18,18,b,85153.1,4657.7,3959.9,81193.2,12,9457152,3r1rk1/4q1pp/p1n1p3/3Pp2n/Np6/P4P2/1PPN2PP/R2Q1RK1 b - - 0 18
19,19,w,88228.2,4811.4,2461.6,85766.6,11,5384725,3r1rk1/4q1pp/p1n5/3pp2n/Np6/P4P2/1PPN2PP/R2Q1RK1 w - - 0 19
20,19,b,81693.2,4484.7,2895.0,78798.2,11,6586549,3r1rk1/4q1pp/p1n5/3pp2n/NP6/5P2/1PPN2PP/R2Q1RK1 b - - 0 19
21,20,w,86266.6,4713.3,2876.3,83390.4,11,6330079,3r1rk1/4q1pp/p7/3pp2n/Nn6/5P2/1PPN2PP/R2Q1RK1 w - - 0 20
22,20,b,79298.2,4364.9,3710.9,75587.3,11,8456192,3r1rk1/4q1pp/p7/3pp2n/Nn6/1N3P2/1PP3PP/R2Q1RK1 b - - 1 20
23,21,w,83890.4,4594.5,2611.3,81279.0,11,5603173,3r1rk1/4q1pp/p7/4p2n/Nn1p4/1N3P2/1PP3PP/R2Q1RK1 w - - 0 21
24,21,b,76087.3,4204.4,3574.3,72513.1,12,7971590,3r1rk1/4q1pp/p7/2N1p2n/1n1p4/1N3P2/1PP3PP/R2Q1RK1 b - - 1 21
