ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes
0,9,b,120000.0,5800.0,5043.1,114956.9,10,11432410
1,10,w,120000.0,5800.0,3950.3,116049.7,10,8957689
2,10,b,115456.9,5595.6,4821.0,110635.9,10,11074263
3,11,w,116549.7,5644.7,5673.4,110876.3,11,13871169
4,11,b,111135.9,5401.1,4716.1,106419.8,11,11598009
5,12,w,111376.3,5411.9,4665.2,106711.1,11,11930488
6,12,b,106919.8,5211.4,3711.4,103208.4,10,9492451
7,13,w,107211.1,5224.5,4414.4,102796.7,10,10552532
8,13,b,103708.4,5066.9,7208.6,96499.8,10,16248184
9,14,w,103296.7,5048.4,2593.2,100703.4,9,5825114
10,14,b,96999.8,4765.0,3908.7,93091.1,9,9107548
11,15,w,101203.4,4954.2,3344.5,97858.9,9,7876102
12,15,b,93591.1,4611.6,3919.3,89671.8,9,9356343
13,16,w,98358.9,4826.2,4855.6,93503.4,10,11351349
14,16,b,90171.8,4457.7,4120.8,86051.0,10,10083406
15,17,w,94003.4,4630.2,5050.5,88952.8,11,12874207
16,17,b,86551.0,4294.8,4876.6,81674.4,11,12435110
17,18,w,89452.8,4425.4,6474.1,82978.7,12,15021259
18,18,b,82174.4,4097.8,4646.5,77528.0,12,11170226
19,19,w,83478.7,4156.5,3054.9,80423.8,11,7227783
20,19,b,78028.0,3911.3,3624.8,74403.2,11,8295107
21,20,w,80923.8,4041.6,2370.6,78553.1,10,6000478
22,20,b,74903.2,3770.6,3347.9,71555.3,10,8321563
23,21,w,79053.1,3957.4,3389.5,75663.6,10,7935244
24,21,b,72055.3,3642.5,2701.1,69354.2,9,5910762
25,22,w,76163.6,3827.4,4238.6,71925.0,9,10158480
26,22,b,69854.2,3543.4,3198.7,66655.5,9,7597734
27,23,w,72425.0,3659.1,3746.2,68678.8,9,9757949
28,23,b,67155.5,3422.0,1765.6,65389.8,9,4460940
29,24,w,69178.8,3513.0,2204.2,66974.6,10,5893804
30,24,b,65889.8,3365.0,2953.8,62936.0,11,7806851
31,25,w,67474.6,3436.4,2935.8,64538.8,11,7748847
32,25,b,63436.0,3254.6,3444.1,59991.9,11,8414836
33,26,w,65038.8,3326.7,2870.6,62168.3,12,7647489
34,26,b,60491.9,3122.1,2685.7,57806.2,12,6949962
35,27,w,62668.3,3220.1,2739.3,59929.0,12,7484167
36,27,b,58306.2,3023.8,2598.2,55708.0,12,6714951
37,28,w,60429.0,3119.3,2703.7,57725.3,12,7060130
38,28,b,56208.0,2929.4,3021.0,53187.0,12,7725532
39,29,w,58225.3,3020.1,5409.5,52815.7,12,13781509
