ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,6800.0,3611.9,116388.1,7,234213,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,6800.0,3770.6,116229.4,7,260528,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,116888.1,6644.4,5652.6,111235.5,7,427264,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116729.4,6636.5,3737.1,112992.3,8,276549,r2qkb1r/1p3pp1/p1n1bn1p/3pp3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 11
4,11,b,111735.5,6386.8,5432.0,106303.5,8,417024,r2qkb1r/1p3pp1/p1n1bn1p/3Pp3/8/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 0 11
5,12,w,113492.3,6474.6,5504.6,107987.7,8,422144,r2qkb1r/1p3pp1/p1n1b2p/3np3/8/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 12
6,12,b,106803.5,6140.2,5220.1,101583.4,7,422400,r2qkb1r/1p3pp1/p1n1b2p/3Np3/8/N3BP2/PPP3PP/R2QKB1R b KQkq - 0 12
7,13,w,108487.7,6224.4,5295.7,103192.0,8,406016,r2qkb1r/1p3pp1/p1n4p/3bp3/8/N3BP2/PPP3PP/R2QKB1R w KQkq - 0 13
8,13,b,102083.4,5904.2,5019.5,97063.9,7,411904,r2qkb1r/1p3pp1/p1n4p/3bp3/2N5/4BP2/PPP3PP/R2QKB1R b KQkq - 1 13
9,14,w,103692.0,5984.6,5092.4,98599.6,8,409344,1r1qkb1r/1p3pp1/p1n4p/3bp3/2N5/4BP2/PPP3PP/R2QKB1R w KQk - 2 14
10,14,b,97563.9,5678.2,4831.3,92732.6,8,408832,1r1qkb1r/1p3pp1/pBn4p/3bp3/2N5/5P2/PPP3PP/R2QKB1R b KQk - 3 14
11,15,w,99099.6,5755.0,2920.5,96179.1,8,220123,1r2kb1r/1p1q1pp1/pBn4p/3bp3/2N5/5P2/PPP3PP/R2QKB1R w KQk - 4 15
12,15,b,93232.6,5461.6,4643.5,88589.1,8,361728,1r2kb1r/1p1q1pp1/pBn4p/3bp3/8/4NP2/PPP3PP/R2QKB1R b KQk - 5 15
13,16,w,96679.1,5634.0,2942.0,93737.0,9,220185,1r2kb1r/1p1q1pp1/pBn1b2p/4p3/8/4NP2/PPP3PP/R2QKB1R w KQk - 6 16
14,16,b,89089.1,5254.5,4471.7,84617.4,9,329216,1r2kb1r/1p1Q1pp1/pBn1b2p/4p3/8/4NP2/PPP3PP/R3KB1R b KQk - 0 16
15,17,w,94237.0,5511.9,2979.7,91257.4,8,227307,1r3b1r/1p1k1pp1/pBn1b2p/4p3/8/4NP2/PPP3PP/R3KB1R w KQ - 0 17
16,17,b,85117.4,5055.9,4299.6,80817.8,9,371456,1r3b1r/1p1k1pp1/pBn1b2p/4p3/8/4NP2/PPP3PP/2KR1B1R b - - 1 17
17,18,w,91757.4,5387.9,4580.2,87177.1,8,388352,1rk2b1r/1p3pp1/pBn1b2p/4p3/8/4NP2/PPP3PP/2KR1B1R w - - 2 18
18,18,b,81317.8,4865.9,4137.8,77180.0,8,320512,1rk2b1r/1p3pp1/pBn1b2p/4p3/2N5/5P2/PPP3PP/2KR1B1R b - - 3 18
