ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,5025.2,114974.8,10,12250966,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3718.6,116281.4,10,8957689,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,115474.8,5596.4,5662.5,109812.3,10,13789993,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116781.4,5655.2,6263.7,110517.7,11,15946217,r2qkb1r/1p3pp1/p1n1bn1p/3pp3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 11
4,11,b,110312.3,5364.1,3094.2,107218.0,10,8162440,r2qkb1r/1p3pp1/p1n1bn1p/3Pp3/8/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 0 11
5,12,w,111017.7,5395.8,6972.5,104045.2,11,18451908,r2qkb1r/1p3pp1/p1n1b2p/3np3/8/N1N1BP2/PPP3PP/R2QKB1R w KQkq - 0 12
6,12,b,107718.0,5247.3,4474.5,103243.5,10,11840280,r2qkb1r/1p3pp1/p1n1b2p/3Np3/8/N3BP2/PPP3PP/R2QKB1R b KQkq - 0 12
7,13,w,104545.2,5104.5,4494.9,100050.3,10,11349458,r2qkb1r/1p3pp1/p1n4p/3bp3/8/N3BP2/PPP3PP/R2QKB1R w KQkq - 0 13
8,13,b,103743.5,5068.5,4744.3,98999.2,10,12543627,r2qkb1r/1p3pp1/p1n4p/3bp3/2N5/4BP2/PPP3PP/R2QKB1R b KQkq - 1 13
9,14,w,100550.3,4924.8,5152.4,95397.8,10,13329472,r2qkb1r/1p3pp1/p1n1b2p/4p3/2N5/4BP2/PPP3PP/R2QKB1R w KQkq - 2 14
10,14,b,99499.2,4877.5,3864.3,95634.9,10,10627726,r2qkb1r/1p3pp1/pNn1b2p/4p3/8/4BP2/PPP3PP/R2QKB1R b KQkq - 3 14
11,15,w,95897.8,4715.4,4026.2,91871.7,10,10550963,1r1qkb1r/1p3pp1/pNn1b2p/4p3/8/4BP2/PPP3PP/R2QKB1R w KQk - 4 15
12,15,b,96134.9,4726.1,4168.5,91966.4,10,10864580,1r1qkb1r/1p3pp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2QKB1R b KQk - 0 15
13,16,w,92371.7,4556.7,6581.6,85790.0,10,16784130,1r1qk2r/1p2bpp1/pNn1b2p/4p3/8/2P1BP2/PP4PP/R2QKB1R w KQk - 1 16
14,16,b,92466.4,4561.0,2567.9,89898.4,10,6727579,1r1qk2r/1p2bpp1/pNn1b2p/4p3/2B5/2P1BP2/PP4PP/R2QK2R b KQk - 2 16
15,17,w,86290.0,4283.1,3943.5,82346.5,11,10740571,1r1qk2r/1p2bpp1/pNn4p/4p3/2b5/2P1BP2/PP4PP/R2QK2R w KQk - 0 17
16,17,b,90398.4,4467.9,3874.6,86523.8,11,10770712,1r1qk2r/1p2bpp1/p1n4p/4p3/2N5/2P1BP2/PP4PP/R2QK2R b KQk - 0 17
17,18,w,82846.5,4128.1,3518.5,79328.0,11,9887407,1r1qk2r/4bpp1/p1n4p/1p2p3/2N5/2P1BP2/PP4PP/R2QK2R w KQk - 0 18
18,18,b,87023.8,4316.1,3113.9,83909.9,12,8746619,1r1Qk2r/4bpp1/p1n4p/1p2p3/2N5/2P1BP2/PP4PP/R3K2R b KQk - 0 18
19,19,w,79828.0,3992.3,10836.0,68992.0,12,30790921,3rk2r/4bpp1/p1n4p/1p2p3/2N5/2P1BP2/PP4PP/R3K2R w KQk - 0 19
20,19,b,84409.9,4198.4,3438.3,80971.6,10,9238552,3rk2r/4bpp1/p1n4p/1p2p3/8/2P1BP2/PP1N2PP/R3K2R b KQk - 1 19
21,20,w,69492.0,3527.1,2122.3,67369.7,10,5616376,3rk2r/4bpp1/p1n4p/4p3/1p6/2P1BP2/PP1N2PP/R3K2R w KQk - 0 20
22,20,b,81471.6,4066.2,3865.5,77606.2,10,10233568,3rk2r/4bpp1/p1n4p/4p3/1pN5/2P1BP2/PP4PP/R3K2R b KQk - 1 20
23,21,w,67869.7,3454.1,2150.6,65719.1,10,5713813,3r1rk1/4bpp1/p1n4p/4p3/1pN5/2P1BP2/PP4PP/R3K2R w KQ - 2 21
