ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,3102.2,116897.8,9,7479502,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3547.7,116452.3,10,9121243,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,117397.8,5682.9,5098.9,112298.9,10,13088582,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116952.3,5662.9,8696.3,108256.0,10,22171872,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQk - 2 11
4,11,b,112798.9,5476.0,4088.8,108710.1,10,10775141,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R b KQk - 3 11
5,12,w,108756.0,5294.0,4150.5,104605.5,10,11032001,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R w KQk - 4 12
6,12,b,109210.1,5314.5,4539.3,104670.8,11,12208256,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2Q1RK1 b k - 5 12
7,13,w,105105.5,5129.7,4963.4,100142.2,11,13351034,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R2Q1RK1 w k - 6 13
8,13,b,105170.8,5132.7,8904.1,96266.7,11,23147730,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N2P2/PPP1BBPP/R2Q1RK1 b k - 7 13
9,14,w,100642.2,4928.9,3329.6,97312.5,11,9608683,2rqk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N2P2/PPP1BBPP/R2Q1RK1 w k - 8 14
10,14,b,96766.7,4754.5,4053.2,92713.5,11,11212319,2rqk2r/1p2bpp1/p2pbn1p/4p3/Nn2P3/N4P2/PPP1BBPP/R2Q1RK1 b k - 9 14
11,15,w,97812.5,4801.6,3465.2,94347.3,11,9765880,2rqk2r/1p1nbpp1/p2pb2p/4p3/Nn2P3/N4P2/PPP1BBPP/R2Q1RK1 w k - 10 15
12,15,b,93213.5,4594.6,3935.9,89277.6,11,11227688,2rqk2r/1p1nbpp1/p2pb2p/4p3/NnP1P3/N4P2/PP2BBPP/R2Q1RK1 b k - 0 15
