ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,3219.5,116780.5,9,7479502,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3717.6,116282.4,10,9121243,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,117280.5,5677.6,4826.5,112453.9,10,11683593,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116782.4,5655.2,4807.7,111974.7,10,11701529,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQk - 2 11
4,11,b,112953.9,5482.9,4378.7,108575.2,10,10785863,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R b KQk - 3 11
5,12,w,112474.7,5461.4,3674.3,108800.4,10,9316119,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R w KQk - 4 12
6,12,b,109075.2,5308.4,2745.9,106329.3,10,6797179,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2Q1RK1 b k - 5 12
7,13,w,109300.4,5318.5,4521.8,104778.6,10,10910213,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R2Q1RK1 w k - 6 13
8,13,b,106829.3,5207.3,3564.5,103264.8,10,8683555,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R3QRK1 b k - 7 13
9,14,w,105278.6,5137.5,4368.2,100910.4,10,10623240,1r1qk2r/1p2bpp1/p3bn1p/3pp3/1n2P3/N1N1BP2/PPP1B1PP/R3QRK1 w k - 0 14
