ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,3100.6,116899.4,9,7479502,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3670.2,116329.8,10,9121243,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,117399.4,5683.0,4831.0,112568.4,10,12113416,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116829.8,5657.3,4809.6,112020.3,10,12181763,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQk - 2 11
4,11,b,113068.4,5488.1,4184.9,108883.5,10,10780659,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R b KQk - 3 11
5,12,w,112520.3,5463.4,2990.3,109530.0,10,8081527,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R w KQk - 4 12
6,12,b,109383.5,5322.3,4525.1,104858.4,11,11939591,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2Q1RK1 b k - 5 12
7,13,w,110030.0,5351.3,4549.7,105480.2,11,12149256,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R2Q1RK1 w k - 6 13
8,13,b,105358.4,5141.1,4371.1,100987.3,11,11554816,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2PP2/N1N1B3/PPP1B1PP/R2Q1RK1 b k - 0 13
9,14,w,105980.2,5169.1,4394.9,101585.3,11,11759875,1r1qk2r/1p2bpp1/p2pbn1p/8/1n2Pp2/N1N1B3/PPP1B1PP/R2Q1RK1 w k - 0 14
10,14,b,101487.3,4966.9,4222.5,97264.9,10,10735878,1r1qk2r/1p2bpp1/p2pbn1p/8/1n2PB2/N1N5/PPP1B1PP/R2Q1RK1 b k - 0 14
11,15,w,102085.3,4993.8,4245.5,97839.8,10,11082756,2rqk2r/1p2bpp1/p2pbn1p/8/1n2PB2/N1N5/PPP1B1PP/R2Q1RK1 w k - 1 15
12,15,b,97764.9,4799.4,3088.2,94676.6,10,8517926,2rqk2r/1p2bpp1/p2pbn1p/8/1n2PB2/N1N2B2/PPP3PP/R2Q1RK1 b k - 2 15
13,16,w,98339.8,4825.3,4102.7,94237.2,10,10503187,2rq1rk1/1p2bpp1/p2pbn1p/8/1n2PB2/N1N2B2/PPP3PP/R2Q1RK1 w - - 3 16
14,16,b,95176.6,4682.9,3981.4,91195.2,11,10724618,2rq1rk1/1p2bpp1/p2pbn1p/8/1n2PB2/N1N2B2/PPP2RPP/R2Q2K1 b - - 4 16
15,17,w,94737.2,4663.2,3215.1,91522.1,10,8279218,2rq1rk1/1p2bpp1/p3bn1p/3p4/1n2PB2/N1N2B2/PPP2RPP/R2Q2K1 w - - 0 17
16,17,b,91695.2,4526.3,2796.7,88898.6,10,7415268,2rq1rk1/1p2bpp1/p3bn1p/3p4/1n2P3/N1N1BB2/PPP2RPP/R2Q2K1 b - - 1 17
17,18,w,92022.1,4541.0,3860.6,88161.4,12,11250450,3q1rk1/1p2bpp1/p3bn1p/3p4/1n2P3/N1r1BB2/PPP2RPP/R2Q2K1 w - - 0 18
18,18,b,89398.6,4422.9,3760.5,85638.1,12,10820613,3q1rk1/1p2bpp1/p3bn1p/3p4/1n2P3/N1P1BB2/P1P2RPP/R2Q2K1 b - - 0 18
19,19,w,88661.4,4389.8,2373.9,86287.6,11,6352315,3q1rk1/1p2bpp1/p3bn1p/3p4/4P3/N1P1BB2/n1P2RPP/R2Q2K1 w - - 0 19
