ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,4323.1,115676.9,11,9567749,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3345.3,116654.7,10,6982350,r2qk2r/1p2bppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 4 10
2,10,b,116176.9,5628.0,3321.1,112855.8,11,7386240,r2qk2r/1p2bppp/p1npbn2/4p1B1/2N1P3/2N2P2/PPP3PP/R2QKB1R b KQkq - 5 10
3,11,w,117154.7,5672.0,3332.1,113822.7,11,6978117,r2qk2r/1p2bppp/p2pbn2/4p1B1/2NnP3/2N2P2/PPP3PP/R2QKB1R w KQkq - 6 11
4,11,b,113355.8,5501.0,4677.1,108678.6,11,10282240,r2qk2r/1p2bppp/p2pbn2/4p1B1/2NnPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 11
5,12,w,114322.7,5544.5,4714.2,109608.4,12,10035462,r2qk2r/1p2bpp1/p2pbn1p/4p1B1/2NnPP2/2N5/PPP3PP/R2QKB1R w KQkq - 0 12
6,12,b,109178.6,5313.0,4517.5,104661.2,12,10429184,r2qk2r/1p2bpp1/p2pbn1p/4P1B1/2NnP3/2N5/PPP3PP/R2QKB1R b KQkq - 0 12
7,13,w,110108.4,5354.9,4553.0,105555.4,12,10228736,r2qk2r/1p2bpp1/p3bn1p/4p1B1/2NnP3/2N5/PPP3PP/R2QKB1R w KQkq - 0 13
8,13,b,105161.2,5132.3,3169.7,101991.4,10,7400950,r2qk2r/1p2bpp1/p3bn1p/4p3/2NnP3/2N1B3/PPP3PP/R2QKB1R b KQkq - 1 13
9,14,w,106055.4,5172.5,3307.1,102748.3,11,7225975,r2qk2r/1p2bpp1/p3b2p/4p3/2NnP1n1/2N1B3/PPP3PP/R2QKB1R w KQkq - 2 14
10,14,b,102491.4,5012.1,4261.1,98230.4,11,9903872,r2qk2r/1p2bpp1/p3b2p/4p3/2NBP1n1/2N5/PPP3PP/R2QKB1R b KQkq - 0 14
11,15,w,103248.3,5046.2,2839.1,100409.2,11,6259235,r2qk2r/1p2bpp1/p3b2p/8/2NpP1n1/2N5/PPP3PP/R2QKB1R w KQkq - 0 15
12,15,b,98730.4,4842.9,4117.2,94613.2,11,9548288,r2qk2r/1p2bpp1/p3b2p/3N4/2NpP1n1/8/PPP3PP/R2QKB1R b KQkq - 1 15
13,16,w,100909.2,4940.9,4201.4,96707.8,11,9341440,r2qk2r/4bpp1/p3b2p/1p1N4/2NpP1n1/8/PPP3PP/R2QKB1R w KQkq - 0 16
14,16,b,95113.2,4680.1,3978.8,91134.4,10,8718080,r2qk2r/4bpp1/pN2b2p/1p1N4/3pP1n1/8/PPP3PP/R2QKB1R b KQkq - 1 16
15,17,w,97207.8,4774.4,4059.3,93148.5,11,8955395,r2qk2r/4bpp1/pN5p/1p1b4/3pP1n1/8/PPP3PP/R2QKB1R w KQkq - 0 17
16,17,b,91634.4,4523.5,3845.6,87788.8,11,8731904,r2qk2r/4bpp1/p6p/1p1N4/3pP1n1/8/PPP3PP/R2QKB1R b KQkq - 0 17
17,18,w,93648.5,4614.2,3923.2,89725.4,11,8849664,r2qk2r/4bpp1/p6p/1p1N4/3pP3/4n3/PPP3PP/R2QKB1R w KQkq - 1 18
18,18,b,88288.8,4373.0,3718.0,84570.8,11,8687872,r2qk2r/4bpp1/p6p/1p1N4/3pP3/3Qn3/PPP3PP/R3KB1R b KQkq - 2 18
19,19,w,90225.4,4460.1,3792.2,86433.2,12,8788997,r2qk2r/4bpp1/p6p/1p1n4/3pP3/3Q4/PPP3PP/R3KB1R w KQkq - 0 19
20,19,b,85070.8,4228.2,3595.0,81475.8,11,8267016,r2qk2r/4bpp1/p6p/1p1P4/3p4/3Q4/PPP3PP/R3KB1R b KQkq - 0 19
21,20,w,86933.2,4312.0,3666.0,83267.2,11,8025606,r3k2r/4bpp1/p6p/1p1q4/3p4/3Q4/PPP3PP/R3KB1R w KQkq - 0 20
22,20,b,81975.8,4088.9,3476.6,78499.2,10,7657987,r3k2r/4bpp1/p6p/1p1q4/3p4/3Q4/PPP1B1PP/R3K2R b KQkq - 1 20
23,21,w,83767.2,4169.5,3130.7,80636.5,11,7115407,r4rk1/4bpp1/p6p/1p1q4/3p4/3Q4/PPP1B1PP/R3K2R w KQ - 2 21
24,21,b,78999.2,3955.0,3362.8,75636.3,11,7630857,r4rk1/4bpp1/p6p/1p1q4/3p4/3Q4/PPP1B1PP/R4RK1 b - - 3 21
25,22,w,81136.5,4051.1,3343.9,77792.6,11,7632157,2r2rk1/4bpp1/p6p/1p1q4/3p4/3Q4/PPP1B1PP/R4RK1 w - - 4 22
26,22,b,76136.3,3826.1,2074.8,74061.6,11,4572405,2r2rk1/4bpp1/p6p/1p1q4/3p4/3Q1B2/PPP3PP/R4RK1 b - - 5 22
27,23,w,78292.6,3923.2,3335.8,74956.8,11,7608576,2r2rk1/4bpp1/p6p/1p6/2qp4/3Q1B2/PPP3PP/R4RK1 w - - 6 23
28,23,b,74561.6,3755.3,2619.0,71942.5,11,5803104,2r2rk1/4bpp1/p6p/1p6/2qpB3/3Q4/PPP3PP/R4RK1 b - - 7 23
29,24,w,75456.8,3795.6,3227.0,72229.8,11,7260416,2r2rk1/5pp1/p6p/1p4b1/2qpB3/3Q4/PPP3PP/R4RK1 w - - 8 24
30,24,b,72442.5,3659.9,2378.6,70063.9,11,5303962,2r2rk1/5pp1/p6p/1p4b1/2qpB3/P2Q4/1PP3PP/R4RK1 b - - 0 24
31,25,w,72729.8,3672.8,2795.0,69934.8,13,6201724,2r2rk1/5pp1/p6p/1p6/2qpB3/P2Qb3/1PP3PP/R4RK1 w - - 1 25
32,25,b,70563.9,3575.4,3039.7,67524.2,13,6918152,2r2rk1/5pp1/p6p/1p6/2qpB3/P2Qb3/1PP3PP/R4R1K b - - 2 25
33,26,w,70434.8,3569.6,3034.7,67400.1,12,7078400,3r1rk1/5pp1/p6p/1p6/2qpB3/P2Qb3/1PP3PP/R4R1K w - - 3 26
34,26,b,68024.2,3461.1,2942.8,65081.4,12,6471684,3r1rk1/5pp1/p6p/1p6/2qpB3/P2QbR2/1PP3PP/R6K b - - 4 26
35,27,w,67900.1,3455.5,2938.0,64962.2,13,6978311,3r1rk1/5pp1/p3q2p/1p6/3pB3/P2QbR2/1PP3PP/R6K w - - 5 27
36,27,b,65581.4,3351.2,2806.4,62775.0,13,6111319,3r1rk1/5pp1/p3q2p/1p6/3pB3/P2QbR2/1PP3PP/5R1K b - - 6 27
37,28,w,65462.2,3345.8,1699.6,63762.6,11,3699606,3r1rk1/5pp1/p3q2p/1p4b1/3pB3/P2Q1R2/1PP3PP/5R1K w - - 7 28
38,28,b,63275.0,3247.4,1960.4,61314.6,15,4478867,3r1rk1/5ppB/p3q2p/1p4b1/3p4/P2Q1R2/1PP3PP/5R1K b - - 8 28
39,29,w,64262.6,3291.8,2798.5,61464.1,14,6598400,3r1r1k/5ppB/p3q2p/1p4b1/3p4/P2Q1R2/1PP3PP/5R1K w - - 9 29
40,29,b,61814.6,3181.7,2705.0,59109.6,13,6072580,3r1r1k/5pp1/p3q2p/1p3Bb1/3p4/P2Q1R2/1PP3PP/5R1K b - - 10 29
41,30,w,61964.1,3188.4,1605.5,60358.5,12,3819324,3r1r1k/5pp1/p6p/1p3Bb1/3p4/P2Q1R2/qPP3PP/5R1K w - - 11 30
42,30,b,59609.6,3082.4,2342.2,57267.4,15,5981459,3r1r1k/5pp1/p6p/1p3Bb1/3p4/PQ3R2/qPP3PP/5R1K b - - 12 30
43,31,w,60858.5,3138.6,1970.2,58888.3,15,4827225,3r1r1k/5pp1/p6p/1p3Bb1/3p4/Pq3R2/1PP3PP/5R1K w - - 0 31
44,31,b,57767.4,2999.5,2367.3,55400.1,15,5808944,3r1r1k/5pp1/p6p/1p3Bb1/3p4/PR6/1PP3PP/5R1K b - - 0 31
45,32,w,59388.3,3072.5,2612.4,56776.0,14,6354955,3r1r1k/5p2/p5pp/1p3Bb1/3p4/PR6/1PP3PP/5R1K w - - 0 32
46,32,b,55900.1,2915.5,1969.3,53930.7,13,4699106,3r1r1k/5p2/p5pp/1p4b1/3p4/PR1B4/1PP3PP/5R1K b - - 1 32
47,33,w,57276.0,2977.4,1545.1,55730.9,13,3913366,3r1r2/5pk1/p5pp/1p4b1/3p4/PR1B4/1PP3PP/5R1K w - - 2 33
48,33,b,54430.7,2849.4,2422.8,52007.9,14,6204420,3r1r2/5pk1/p5pp/1p4b1/P2p4/1R1B4/1PP3PP/5R1K b - - 0 33
49,34,w,56230.9,2930.4,2432.0,53798.9,14,6136479,3r1r2/5pk1/p5pp/6b1/p2p4/1R1B4/1PP3PP/5R1K w - - 0 34
50,34,b,52507.9,2762.9,2349.1,50158.8,14,5539584,3r1r2/5pk1/p5pp/6b1/pR1p4/3B4/1PP3PP/5R1K b - - 1 34
51,35,w,54298.9,2843.5,2417.8,51881.1,14,5999629,3r1r2/5pk1/6pp/p5b1/pR1p4/3B4/1PP3PP/5R1K w - - 0 35
52,35,b,50658.8,2679.6,2278.3,48380.5,14,5416452,3r1r2/5pk1/6pp/p5b1/R2p4/3B4/1PP3PP/5R1K b - - 0 35
53,36,w,52381.1,2757.1,2344.3,50036.8,14,5828619,5r2/5pk1/6pp/p2r2b1/R2p4/3B4/1PP3PP/5R1K w - - 1 36
54,36,b,48880.5,2599.6,1813.9,47066.6,12,4204825,5r2/5pk1/6pp/p2r2b1/2Rp4/3B4/1PP3PP/5R1K b - - 2 36
55,37,w,50536.8,2674.2,2273.6,48263.2,13,5413894,3r4/5pk1/6pp/p2r2b1/2Rp4/3B4/1PP3PP/5R1K w - - 3 37
56,37,b,47566.6,2540.5,1440.1,46126.5,11,3435177,3r4/5pk1/6pp/p2r2b1/2Rp4/1P1B4/2P3PP/5R1K b - - 0 37
57,38,w,48763.2,2594.3,1512.4,47250.8,12,3704683,3r4/4bpk1/6pp/p2r4/2Rp4/1P1B4/2P3PP/5R1K w - - 1 38
58,38,b,46626.5,2498.2,1940.3,44686.2,13,4579145,3r4/2R1bpk1/6pp/p2r4/3p4/1P1B4/2P3PP/5R1K b - - 2 38
59,39,w,47750.8,2548.8,2167.3,45583.5,14,5201152,3r4/2Rrbpk1/6pp/p7/3p4/1P1B4/2P3PP/5R1K w - - 3 39
60,39,b,45186.2,2433.4,2068.9,43117.3,14,4860169,3r4/3rbpk1/2R3pp/p7/3p4/1P1B4/2P3PP/5R1K b - - 4 39
61,40,w,46083.5,2473.8,2103.5,43980.0,13,4922372,3r4/3r1pk1/2R3pp/p7/1b1p4/1P1B4/2P3PP/5R1K w - - 5 40
62,40,b,43617.3,2362.8,1396.8,42220.5,13,3213289,3r4/3r1pk1/2R3pp/p7/1b1p4/1P1B2P1/2P4P/5R1K b - - 0 40
63,41,w,44480.0,2401.6,1282.0,43198.0,13,3165886,3r4/5pk1/2Rr2pp/p7/1b1p4/1P1B2P1/2P4P/5R1K w - - 1 41
64,41,b,42720.5,2322.4,1344.7,41375.8,13,3204828,3r4/5pk1/3r2pp/p7/1bRp4/1P1B2P1/2P4P/5R1K b - - 2 41
65,42,w,43698.0,2366.4,2012.4,41685.6,14,4879104,3r4/5pk1/3r2pp/p7/2Rp4/1PbB2P1/2P4P/5R1K w - - 3 42
66,42,b,41875.8,2284.4,1660.7,40215.1,13,3956237,3r4/5pk1/3r2pp/p7/2Rp4/1PbB2P1/2P3KP/5R2 b - - 4 42
67,43,w,42185.6,2298.4,1268.3,40917.3,13,3120438,3r4/3r1pk1/6pp/p7/2Rp4/1PbB2P1/2P3KP/5R2 w - - 5 43
68,43,b,40715.1,2232.2,1897.9,38817.2,13,4400912,3r4/3r1pk1/2R3pp/p7/3p4/1PbB2P1/2P3KP/5R2 b - - 6 43
69,44,w,41417.3,2263.8,1924.9,39492.4,13,4486403,3r4/4rpk1/2R3pp/p7/3p4/1PbB2P1/2P3KP/5R2 w - - 7 44
70,44,b,39317.2,2169.3,1844.7,37472.6,13,4339719,3r4/4rpk1/2R3pp/p7/2Bp4/1Pb3P1/2P3KP/5R2 b - - 8 44
71,45,w,39992.4,2199.7,1870.8,38121.6,13,4379908,3r4/4rpk1/2R3p1/p6p/2Bp4/1Pb3P1/2P3KP/5R2 w - - 0 45
72,45,b,37972.6,2108.8,1793.5,36179.0,13,4222464,3r4/4rpk1/2R3p1/p6p/2Bp4/1Pb3PP/2P3K1/5R2 b - - 0 45
73,46,w,38621.6,2138.0,1817.9,36803.7,13,4320000,8/3rrpk1/2R3p1/p6p/2Bp4/1Pb3PP/2P3K1/5R2 w - - 1 46
74,46,b,36679.0,2050.6,1743.5,34935.5,12,3903748,8/3rrpk1/1R4p1/p6p/2Bp4/1Pb3PP/2P3K1/5R2 b - - 2 46
75,47,w,37303.7,2078.7,1269.9,36033.8,12,2949218,8/3r1pk1/1R4p1/p6p/2Bp4/1Pb3PP/2P3K1/4rR2 w - - 3 47
76,47,b,35435.5,1994.6,1696.4,33739.1,14,4020480,8/3r1pk1/1R4p1/p6p/2Bp4/1Pb3PP/2P3K1/4R3 b - - 0 47
77,48,w,36533.8,2044.0,1738.2,34795.6,14,4219140,8/3r1pk1/1R4p1/p6p/2Bp4/1P4PP/2P3K1/4b3 w - - 0 48
78,48,b,34239.1,1940.8,1251.8,32987.3,14,3068743,8/3r1pk1/6p1/pR5p/2Bp4/1P4PP/2P3K1/4b3 b - - 1 48
79,49,w,35295.6,1988.3,1690.6,33604.9,14,4008718,8/4rpk1/6p1/pR5p/2Bp4/1P4PP/2P3K1/4b3 w - - 2 49
80,49,b,33487.3,1906.9,1621.8,31865.6,14,3874816,8/4rpk1/6p1/pR5p/2Bp2P1/1P5P/2P3K1/4b3 b - - 0 49
81,50,w,34104.9,1934.7,1221.2,32883.8,14,2924872,8/4rpk1/6p1/pR6/2Bp2Pp/1P5P/2P3K1/4b3 w - - 0 50
82,50,b,32365.6,1856.4,1578.5,30787.0,14,3712512,8/4rpk1/6p1/p2R4/2Bp2Pp/1P5P/2P3K1/4b3 b - - 1 50
83,51,w,33383.8,1902.3,1617.7,31766.0,15,3890452,8/4rpk1/6p1/p2R4/2Bp2Pp/1Pb4P/2P3K1/8 w - - 2 51
84,51,b,31287.0,1807.9,1537.4,29749.6,15,3607296,8/4rpk1/6p1/pR6/2Bp2Pp/1Pb4P/2P3K1/8 b - - 3 51
85,52,w,32266.0,1852.0,1223.2,31042.8,16,2905449,8/4rpk1/6p1/pR6/2Bp2Pp/1P5P/2P3K1/4b3 w - - 4 52
86,52,b,30249.6,1761.2,1497.6,28752.0,15,3656966,8/4rpk1/6p1/p2R4/2Bp2Pp/1P5P/2P3K1/4b3 b - - 5 52
87,53,w,31542.8,1819.4,1238.2,30304.6,15,3001544,8/5pk1/6p1/p2R4/2Bpr1Pp/1P5P/2P3K1/4b3 w - - 6 53
88,53,b,29252.0,1716.3,1012.0,28240.1,14,2324076,8/5pk1/6p1/p2R4/2Bpr1Pp/1P3K1P/2P5/4b3 b - - 7 53
89,54,w,30804.6,1786.2,1405.8,29398.8,16,3322532,8/5pk1/6p1/p2R4/2Bp2Pp/1P2rK1P/2P5/4b3 w - - 8 54
90,54,b,28740.1,1693.3,882.0,27858.0,14,2082867,8/5pk1/6p1/p2R4/2Bp2Pp/1P2r2P/2P3K1/4b3 b - - 9 54
91,55,w,29898.8,1745.4,1484.5,28414.3,16,3557897,8/5pk1/6p1/p2R4/2Bp2Pp/1Pb1r2P/2P3K1/8 w - - 10 55
92,55,b,28358.0,1676.1,1425.2,26932.8,15,3353856,8/3R1pk1/6p1/p7/2Bp2Pp/1Pb1r2P/2P3K1/8 b - - 11 55
93,56,w,28914.3,1701.1,1446.6,27467.7,17,3537920,8/3R1pk1/6p1/p7/2Bp2Pp/1Pb3rP/2P3K1/8 w - - 12 56
94,56,b,27432.8,1634.5,1389.8,26043.0,16,3207691,8/3R1pk1/6p1/p7/2Bp2Pp/1Pb3rP/2P4K/8 b - - 13 56
95,57,w,27967.7,1658.5,1237.6,26730.1,15,2931604,8/3R1pk1/6p1/p7/2Bp2Pp/1Pb2r1P/2P4K/8 w - - 14 57
96,57,b,26543.0,1594.4,1356.0,25187.0,16,3141643,8/3R1pk1/6p1/p7/2Bp2Pp/1Pb2r1P/2P3K1/8 b - - 15 57
97,58,w,27230.1,1625.4,1382.3,25847.8,15,3149056,8/3R1pk1/6p1/p7/2Bp1rPp/1Pb4P/2P3K1/8 w - - 16 58
98,58,b,25687.0,1555.9,934.8,24752.2,15,2183549,8/3R1pk1/6p1/p7/3p1rPp/1PbB3P/2P3K1/8 b - - 17 58
99,59,w,26347.8,1585.7,1348.5,24999.4,15,3181836,8/3R1pk1/6p1/p7/3p1rPp/1P1B3P/2Pb2K1/8 w - - 18 59
100,59,b,25252.2,1536.3,1018.6,24233.6,14,2357308,8/3R1pk1/6p1/p7/3p1rPp/1P5P/2PbB1K1/8 b - - 19 59
101,60,w,25499.4,1547.5,1271.9,24227.4,14,3022988,8/3R1p2/6pk/p7/3p1rPp/1P5P/2PbB1K1/8 w - - 20 60
102,60,b,24733.6,1513.0,1286.7,23446.8,14,3119872,8/3R1p2/6pk/p7/3p1rPp/1P3B1P/2Pb2K1/8 b - - 21 60
103,61,w,24727.4,1512.7,940.4,23787.0,14,2217884,8/3R4/6pk/p4p2/3p1rPp/1P3B1P/2Pb2K1/8 w - - 0 61
