ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,4236.8,115763.2,11,9567749,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3356.1,116643.9,10,6982350,r2qk2r/1p2bppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 4 10
2,10,b,116263.2,5631.8,3246.8,113016.4,11,7386240,r2qk2r/1p2bppp/p1npbn2/4p1B1/2N1P3/2N2P2/PPP3PP/R2QKB1R b KQkq - 5 10
3,11,w,117143.9,5671.5,3273.0,113870.9,11,6978117,r2qk2r/1p2bppp/p2pbn2/4p1B1/2NnP3/2N2P2/PPP3PP/R2QKB1R w KQkq - 6 11
4,11,b,113516.4,5508.2,4683.4,108833.0,11,11124736,r2qk2r/1p2bppp/p2pbn2/4p1B1/2NnPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 11
5,12,w,114370.9,5546.7,4716.1,109654.8,12,10632965,r2qk2r/1p2bpp1/p2pbn1p/4p1B1/2NnPP2/2N5/PPP3PP/R2QKB1R w KQkq - 0 12
6,12,b,109333.0,5320.0,4523.2,104809.9,12,10593540,r2qk2r/1p2bpp1/p2pbn1p/4P1B1/2NnP3/2N5/PPP3PP/R2QKB1R b KQkq - 0 12
7,13,w,110154.8,5357.0,4554.8,105600.0,12,10420736,r2qk2r/1p2bpp1/p3bn1p/4p1B1/2NnP3/2N5/PPP3PP/R2QKB1R w KQkq - 0 13
8,13,b,105309.9,5138.9,2908.8,102401.0,10,6969284,r2qk2r/1p2bpp1/p3bn1p/4p3/2NnP3/2N1B3/PPP3PP/R2QKB1R b KQkq - 1 13
9,14,w,106100.0,5174.5,4399.4,101700.6,11,9633285,r2qk2r/1p2bpp1/p3b2p/4p3/2NnP1n1/2N1B3/PPP3PP/R2QKB1R w KQkq - 2 14
10,14,b,102901.0,5030.5,4276.7,98624.4,11,10125319,r2qk2r/1p2bpp1/p3b2p/4p3/2NBP1n1/2N5/PPP3PP/R2QKB1R b KQkq - 0 14
11,15,w,102200.6,4999.0,2715.9,99484.7,12,6069600,r3k2r/1p2bpp1/p3b2p/4p3/2NqP1n1/2N5/PPP3PP/R2QKB1R w KQkq - 0 15
12,15,b,99124.4,4860.6,4011.2,95113.2,13,10057800,r3k2r/1p2bpp1/p3b2p/4p3/2NQP1n1/2N5/PPP3PP/R3KB1R b KQkq - 0 15
13,16,w,99984.7,4899.3,2488.9,97495.7,13,6122647,r3k2r/1p2bpp1/p3b2p/8/2NpP1n1/2N5/PPP3PP/R3KB1R w KQkq - 0 16
14,16,b,95613.2,4702.6,3964.0,91649.2,12,9832559,r3k2r/1p2bpp1/p3b2p/3N4/2NpP1n1/8/PPP3PP/R3KB1R b KQkq - 1 16
15,17,w,97995.7,4809.8,3039.8,94955.9,13,7754974,r3k2r/1p2bpp1/p6p/3b4/2NpP1n1/8/PPP3PP/R3KB1R w KQkq - 0 17
16,17,b,92149.2,4546.7,3865.5,88283.7,12,9621769,r3k2r/1p2bpp1/p6p/3P4/2Np2n1/8/PPP3PP/R3KB1R b KQkq - 0 17
17,18,w,95455.9,4695.5,3510.4,91945.5,12,8540271,3rk2r/1p2bpp1/p6p/3P4/2Np2n1/8/PPP3PP/R3KB1R w KQk - 1 18
18,18,b,88783.7,4395.3,3736.6,85047.1,12,9364224,3rk2r/1p2bpp1/p6p/3P4/2Np2n1/8/PPP1B1PP/R3K2R b KQk - 2 18
19,19,w,92445.5,4560.0,3876.8,88568.7,15,10107660,3rk2r/1p3pp1/p6p/3P4/1bNp2n1/8/PPP1B1PP/R3K2R w KQk - 3 19
20,19,b,85547.1,4249.6,2970.1,82577.0,13,7667891,3rk2r/1p3pp1/p6p/3P4/1bNp2n1/8/PPP1B1PP/R4K1R b k - 4 19
21,20,w,89068.7,4408.1,2354.8,86713.9,15,5889165,3rk2r/1p3pp1/p6p/3P4/1bNp4/4n3/PPP1B1PP/R4K1R w k - 5 20
22,20,b,83077.0,4138.5,3518.1,79558.9,14,9465863,3rk2r/1p3pp1/p6p/3P4/1b1p4/4N3/PPP1B1PP/R4K1R b k - 0 20
23,21,w,87213.9,4324.6,3676.7,83537.2,14,9223431,3rk2r/1p3pp1/p6p/3P4/1b6/4p3/PPP1B1PP/R4K1R w k - 0 21
24,21,b,80058.9,4002.6,3403.0,76655.9,13,8953344,3rk2r/1p3pp1/p6p/3P4/1bP5/4p3/PP2B1PP/R4K1R b k - 0 21
25,22,w,84037.2,4181.7,2218.9,81818.3,13,5585861,3rk2r/1p3pp1/7p/p2P4/1bP5/4p3/PP2B1PP/R4K1R w k - 0 22
26,22,b,77155.9,3872.0,3178.3,73977.6,13,8162728,3rk2r/1p3pp1/7p/p2P4/1bP5/3Bp3/PP4PP/R4K1R b k - 1 22
27,23,w,82318.3,4104.3,2755.9,79562.4,14,6636839,3r1rk1/1p3pp1/7p/p2P4/1bP5/3Bp3/PP4PP/R4K1R w - - 2 23
28,23,b,74477.6,3751.5,3189.3,71288.3,13,8737028,3r1rk1/1p3pp1/7p/p2P4/1bP5/3Bp3/PP2K1PP/R6R b - - 3 23
29,24,w,80062.4,4002.8,2217.1,77845.3,13,5351118,3r1rk1/1p3pp1/7p/p1bP4/2P5/3Bp3/PP2K1PP/R6R w - - 4 24
30,24,b,71788.3,3630.5,3086.5,68701.8,13,7267584,3r1rk1/1p3pp1/7p/p1bP4/2P5/3Bp3/PP2K1PP/R4R2 b - - 5 24
31,25,w,78345.3,3925.5,3337.1,75008.1,13,7950860,3rr1k1/1p3pp1/7p/p1bP4/2P5/3Bp3/PP2K1PP/R4R2 w - - 6 25
32,25,b,69201.8,3514.1,2987.8,66214.0,13,6889993,3rr1k1/1p3pp1/7p/p1bP4/2P5/3Bp3/PP2K1PP/3R1R2 b - - 7 25
33,26,w,75508.1,3797.9,2964.7,72543.4,13,7177649,3rr1k1/1p3p2/6pp/p1bP4/2P5/3Bp3/PP2K1PP/3R1R2 w - - 0 26
34,26,b,66714.0,3402.1,2634.4,64079.6,13,6342154,3rr1k1/1p3p2/6pp/p1bP4/2P2R2/3Bp3/PP2K1PP/3R4 b - - 1 26
35,27,w,73043.4,3687.0,3134.4,69909.1,13,7537152,3rr3/1p3pk1/6pp/p1bP4/2P2R2/3Bp3/PP2K1PP/3R4 w - - 2 27
36,27,b,64579.6,3306.1,2811.0,61768.6,13,6806277,3rr3/1p3pk1/6pp/p1bP4/2P2R2/3Bp2P/PP2K1P1/3R4 b - - 0 27
37,28,w,70409.1,3568.4,3034.2,67374.9,11,7046148,3rr3/1p3pk1/6p1/p1bP3p/2P2R2/3Bp2P/PP2K1P1/3R4 w - - 0 28
38,28,b,62268.6,3202.1,1666.5,60602.1,12,3749678,3rr3/1p3pk1/6p1/p1bP3p/2P2R2/3Bp2P/PP2K1P1/5R2 b - - 1 28
39,29,w,67874.9,3454.4,2937.2,64937.7,13,7048704,3rr3/1p4k1/6p1/p1bP1p1p/2P2R2/3Bp2P/PP2K1P1/5R2 w - - 0 29
40,29,b,61102.1,3149.6,1839.6,59262.5,12,4342045,3rr3/1p4k1/6p1/p1bP1p1p/2P5/3BpR1P/PP2K1P1/5R2 b - - 1 29
