ply,depth,nodes,ebf,occupancy_pct,sec,fen
0,10,1264892,4.0757,0.7807,0.627,r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7
5,10,870928,3.9264,3.9174,0.415,r1bqr1k1/p1pp1pp1/2p2n1p/6B1/1b2P3/2NB4/PPP2PPP/R2Q1RK1 w - - 0 10
10,10,293019,3.5212,5.2412,0.125,r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P1P2PPP/R2Q1RK1 b - - 1 12
15,10,1282038,4.0812,9.8072,0.524,r1bqr1k1/p1p2p2/2p4p/3p3Q/4nPp1/2PB2B1/P1P3PP/R4RK1 w - - 0 15
20,10,569758,3.7633,11.5348,0.243,r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1P3PP/R4RK1 b - - 0 17
25,10,733602,3.8596,13.2891,0.301,r1b1r3/5pk1/2pp1n2/p2p1P2/5RpB/2PB4/P1P3PP/R5K1 w - - 4 20
30,10,218775,3.4198,13.7317,0.087,r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/5RK1 b - - 0 22
35,10,847953,3.916,15.3246,0.357,1r6/5p2/2pp1k2/p2p1P2/6R1/2PPr3/P5PP/3R2K1 w - - 3 25
40,10,1159694,4.0405,18.3572,0.513,8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6 b - - 3 27
45,10,431965,3.6605,19.6365,0.186,8/5p2/3p4/R1pp4/6kP/2PPr3/P2R2PK/5r2 w - - 1 30
50,10,551765,3.7512,20.9614,0.245,6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b - - 1 32
55,10,101998,3.1685,22.2892,0.047,6R1/5p2/3p4/2pp3k/8/2PP2PK/P2R4/4r2r w - - 3 35
60,10,160770,3.316,24.0733,0.07,6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b - - 2 37
65,10,179636,3.353,24.3827,0.072,6R1/5p2/3p4/2pp3k/P7/2PP2P1/5K2/2r5 w - - 1 40
70,10,235041,3.4444,24.9971,0.093,R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2 42
75,10,105401,3.179,25.7031,0.039,R7/P4p2/3p1k2/3p4/2p5/r2P2P1/4K3/8 w - - 0 45
80,10,113955,3.2039,26.0853,0.044,R7/P4p2/5k2/3p4/2p5/r5P1/8/2K5 b - - 1 47
85,10,41280,2.8945,26.4265,0.015,8/2r2p2/5k2/8/2pR4/6P1/8/2K5 w - - 1 50
90,10,65969,3.0334,26.6252,0.027,8/2r5/8/4kp2/2p2R2/2K3P1/8/8 b - - 1 52
95,10,60598,3.0078,26.7931,0.024,8/8/8/5p2/1Kp1k1r1/5RP1/8/8 w - - 6 55
100,10,17967,2.6635,26.9589,0.007,8/8/8/5pr1/1Kpk4/2R3P1/8/8 b - - 11 57
105,10,147100,3.2867,27.0862,0.058,8/8/8/3k1p2/1Kp3r1/R5P1/8/8 w - - 16 60
110,10,69152,3.0478,27.2912,0.025,8/8/8/5pr1/2p1k3/K1R3P1/8/8 b - - 21 62
115,10,27867,2.783,27.3403,0.011,8/8/8/5pr1/1Kp1k3/5RP1/8/8 w - - 26 65
120,10,399,1.8201,27.3733,0.001,8/8/8/5pr1/1Kp1k3/R5P1/8/8 b - - 31 67
125,10,276899,3.5013,27.7846,0.109,2r5/8/8/1K1k1p2/8/R5P1/8/8 w - - 3 70
130,10,38677,2.8757,27.8705,0.016,2r5/8/8/1K2kp2/8/5RP1/8/8 b - - 8 72
135,10,50173,2.9515,27.8979,0.02,8/8/8/1K2kp2/8/5RP1/8/2r5 w - - 13 75
140,10,2810,2.2124,28.0051,0.002,8/8/1K6/4kp2/8/5RP1/8/2r5 b - - 18 77
145,10,9989,2.5116,28.0522,0.005,8/8/8/2K1kp2/5R2/6P1/8/1r6 w - - 23 80
150,10,83843,3.107,28.1752,0.031,4R3/8/5k2/2K2p2/8/6P1/8/3r4 b - - 28 82
155,10,55989,2.9841,28.3671,0.022,8/8/8/2K2pk1/8/5RP1/8/3r4 w - - 33 85
160,10,3814,2.2811,28.4906,0.002,8/8/8/5pk1/2K5/5RP1/8/3r4 b - - 38 87
165,10,36895,2.8622,28.7188,0.014,8/8/8/3K1pk1/5R2/6P1/8/2r5 w - - 43 90
170,10,55285,2.9803,28.7951,0.02,8/8/8/3K1p2/6k1/2R3P1/8/4r3 b - - 48 92
175,10,391,1.8164,28.8313,0.001,8/8/8/3K1p2/4r1k1/2R3P1/8/8 w - - 53 95
180,10,193,1.6926,28.877,0.001,8/8/8/2K2p2/4r1k1/2R3P1/8/8 b - - 58 97
185,10,7654,2.4456,28.8969,0.003,8/8/8/3K1p2/6k1/2R3P1/8/4r3 w - - 63 100
190,10,80963,3.0962,28.9712,0.031,8/8/3K4/5p2/6k1/R5P1/8/4r3 b - - 68 102
195,10,265373,3.4865,29.3337,0.094,8/8/5K2/5p2/6k1/R5P1/8/5r2 w - - 73 105
200,10,1825,2.119,29.3823,0.001,8/8/8/5K2/8/5kP1/8/8 b - - 0 107
205,10,747950,3.8671,33.6409,0.332,rn1q1rk1/pp2ppbp/6p1/2p5/2BPP1b1/2P1BN2/P4PPP/R2Q1RK1 b - - 5 10
210,10,1576647,4.1665,37.2779,0.676,r4rk1/ppq1ppbp/6p1/2P1n3/2B1P1b1/2P1BN2/P4PPP/1R1Q1RK1 w - - 3 13
215,10,657510,3.8176,38.4726,0.257,r2r2k1/ppq1ppbp/6p1/2P5/4P1b1/1QP1BB2/P4PPP/1R3RK1 b - - 2 15
