ply,depth,nodes,ebf,occupancy_pct,sec,fen
0,10,1264892,4.0757,0.7807,0.614,r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7
10,10,293019,3.5212,5.2412,0.126,r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P1P2PPP/R2Q1RK1 b - - 1 12
20,10,569758,3.7633,11.5348,0.243,r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1P3PP/R4RK1 b - - 0 17
30,10,218775,3.4198,13.7317,0.088,r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/5RK1 b - - 0 22
40,10,1159694,4.0405,18.3572,0.506,8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6 b - - 3 27
50,10,551765,3.7512,20.9614,0.245,6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b - - 1 32
60,10,160770,3.316,24.0733,0.069,6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b - - 2 37
70,10,235041,3.4444,24.9971,0.094,R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2 42
80,10,113955,3.2039,26.0853,0.044,R7/P4p2/5k2/3p4/2p5/r5P1/8/2K5 b - - 1 47
90,10,65969,3.0334,26.6252,0.025,8/2r5/8/4kp2/2p2R2/2K3P1/8/8 b - - 1 52
100,10,17967,2.6635,26.9589,0.007,8/8/8/5pr1/1Kpk4/2R3P1/8/8 b - - 11 57
110,10,69152,3.0478,27.2912,0.025,8/8/8/5pr1/2p1k3/K1R3P1/8/8 b - - 21 62
120,10,399,1.8201,27.3733,0.001,8/8/8/5pr1/1Kp1k3/R5P1/8/8 b - - 31 67
130,10,38677,2.8757,27.8705,0.016,2r5/8/8/1K2kp2/8/5RP1/8/8 b - - 8 72
140,10,2810,2.2124,28.0051,0.002,8/8/1K6/4kp2/8/5RP1/8/2r5 b - - 18 77
150,10,83843,3.107,28.1752,0.031,4R3/8/5k2/2K2p2/8/6P1/8/3r4 b - - 28 82
160,10,3814,2.2811,28.4906,0.002,8/8/8/5pk1/2K5/5RP1/8/3r4 b - - 38 87
170,10,55285,2.9803,28.7951,0.021,8/8/8/3K1p2/6k1/2R3P1/8/4r3 b - - 48 92
180,10,193,1.6926,28.877,0.001,8/8/8/2K2p2/4r1k1/2R3P1/8/8 b - - 58 97
190,10,80963,3.0962,28.9712,0.031,8/8/3K4/5p2/6k1/R5P1/8/4r3 b - - 68 102
200,10,1825,2.119,29.3823,0.001,8/8/8/5K2/8/5kP1/8/8 b - - 0 107
210,10,1576647,4.1665,37.2779,0.665,r4rk1/ppq1ppbp/6p1/2P1n3/2B1P1b1/2P1BN2/P4PPP/1R1Q1RK1 w - - 3 13
220,10,835995,3.9104,40.5275,0.334,rr4k1/p1q1ppbp/1p4p1/2P5/4P3/1QP1BP2/P4P1P/1R1R2K1 w - - 0 18
230,10,3066066,4.4531,46.7699,1.461,rr4k1/4pp2/1B3qpp/2P1b3/P3P3/1Q3P2/5P1P/1R1R2K1 w - - 0 23
240,10,46892,2.9316,51.6825,0.019,r5k1/3Rpp2/1QP3pp/8/P3Pb2/5P2/7q/1R4K1 w - - 0 28
250,10,30,1.4051,58.5133,0.0,6k1/1R2pp2/2P3pp/8/4Pb2/5P2/1Q2K1q1/8 w - - 1 33
260,10,7843,2.4516,59.7694,0.004,6k1/1R2pp2/2P3pp/8/4Pbq1/8/2Q5/3K4 w - - 8 38
270,10,1710231,4.2005,61.704,0.73,6k1/1Rb1pp2/2P3pp/4q3/4P3/8/2Q1K3/8 w - - 18 43
280,10,40012,2.8855,65.5143,0.016,6k1/R3pp2/2P3p1/4b2p/4P3/3KQ3/8/3q4 w - - 6 48
290,10,775335,3.881,67.2614,0.339,8/2R1ppk1/2P3p1/7p/K2bP3/1Q6/8/2q5 w - - 16 53
300,10,2574994,4.376,70.3587,1.223,2RQ4/4pp2/2P2kp1/1K2b3/4P2p/2q5/8/8 w - - 6 58
310,10,506304,3.7191,72.2507,0.209,2R2Q2/4pp2/K1P3p1/6k1/1q1bP2p/8/8/8 w - - 16 63
320,10,108456,3.1881,73.3908,0.043,8/4pp2/2P3p1/K3b1k1/4P3/8/7p/1R6 w - - 2 68
330,10,106291,3.1816,73.6391,0.04,7R/2K1pp2/8/8/4P1p1/6k1/7p/8 w - - 2 73
340,10,1404072,4.1185,74.3116,0.551,8/5R2/4K3/4P3/7q/6p1/6k1/8 w - - 1 78
350,10,82590,3.1024,74.8947,0.029,8/3q4/8/4P3/4K3/6R1/8/6qk w - - 0 83
360,10,282087,3.5078,74.9666,0.085,8/8/4P3/5q2/3K4/8/8/5k2 w - - 5 88
370,10,165969,3.3266,75.0286,0.047,8/4q3/8/3K4/8/2k5/8/8 w - - 6 93
380,10,711343,3.8478,75.9068,0.337,r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N2N2/PPP1BPPP/R2Q1RK1 b - - 7 7
390,10,455675,3.6801,77.4382,0.197,r1b2rk1/pp1nqpbp/2p3p1/4p1B1/4P1nP/P1N2N2/1PP1BPP1/R2Q1RK1 b - - 2 12
