ply,depth,nodes,ebf,occupancy_pct,sec,fen
0,10,1274719,4.0789,0.7882,0.61,r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7
5,10,516397,3.7265,3.9442,0.211,r1bqr1k1/p1pp1pp1/2p2n1p/6B1/1b2P3/2NB4/PPP2PPP/R2Q1RK1 w - - 0 10
10,10,348284,3.5826,5.3246,0.143,r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P1P2PPP/R2Q1RK1 b - - 1 12
15,10,1740817,4.208,9.768,0.666,r1bqr1k1/p1p2p2/2p4p/3p3Q/4nPp1/2PB2B1/P1P3PP/R4RK1 w - - 0 15
20,10,529113,3.7356,11.7485,0.216,r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1P3PP/R4RK1 b - - 0 17
25,10,952835,3.9619,14.1922,0.382,r1b1r3/5pk1/2pp1n2/p2p1P2/5RpB/2PB4/P1P3PP/R5K1 w - - 4 20
30,10,161868,3.3183,14.7494,0.064,r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/5RK1 b - - 0 22
35,10,889904,3.9349,16.4397,0.361,1r6/5p2/2pp1k2/p2p1P2/6R1/2PPr3/P5PP/3R2K1 w - - 3 25
40,10,515503,3.7258,18.0223,0.207,8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6 b - - 3 27
45,10,422678,3.6526,19.2295,0.174,8/5p2/3p4/R1pp4/6kP/2PPr3/P2R2PK/5r2 w - - 1 30
50,10,219348,3.4207,20.6056,0.092,6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b - - 1 32
55,10,48514,2.9416,22.1823,0.02,6R1/5p2/3p4/2pp3k/8/2PP2PK/P2R4/4r2r w - - 3 35
60,10,116868,3.212,23.1467,0.049,6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b - - 2 37
65,10,258661,3.4775,23.4845,0.095,6R1/5p2/3p4/2pp3k/P7/2PP2P1/5K2/2r5 w - - 1 40
70,10,282929,3.5089,24.0797,0.109,R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2 42
