ply,depth,nodes,ebf,occupancy_pct,sec,fen
0,10,1274719,4.0789,0.7882,0.632,r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7
10,10,348284,3.5826,5.3246,0.151,r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P1P2PPP/R2Q1RK1 b - - 1 12
20,10,529113,3.7356,11.7485,0.217,r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1P3PP/R4RK1 b - - 0 17
30,10,161868,3.3183,14.7494,0.064,r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/5RK1 b - - 0 22
40,10,515503,3.7258,18.0223,0.213,8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6 b - - 3 27
50,10,219348,3.4207,20.6056,0.09,6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b - - 1 32
60,10,116868,3.212,23.1467,0.057,6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b - - 2 37
70,10,282929,3.5089,24.0797,0.11,R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2 42
80,10,158372,3.3111,25.2965,0.056,R7/P4p2/5k2/3p4/2p5/r5P1/8/2K5 b - - 1 47
90,10,69988,3.0514,25.7305,0.024,8/2r5/8/4kp2/2p2R2/2K3P1/8/8 b - - 1 52
100,10,19625,2.6871,26.176,0.007,8/8/8/5pr1/1Kpk4/2R3P1/8/8 b - - 11 57
110,10,100131,3.1627,26.4329,0.033,8/8/8/5pr1/2p1k3/K1R3P1/8/8 b - - 21 62
120,10,151,1.6516,26.4868,0.0,8/8/8/5pr1/1Kp1k3/R5P1/8/8 b - - 31 67
130,10,167965,3.3306,27.0082,0.062,2r5/8/8/1K2kp2/8/5RP1/8/8 b - - 8 72
140,10,1027,2.0006,27.0859,0.001,8/8/1K6/4kp2/8/5RP1/8/2r5 b - - 18 77
150,10,106222,3.1814,27.222,0.037,4R3/8/5k2/2K2p2/8/6P1/8/3r4 b - - 28 82
160,10,11532,2.5479,27.736,0.005,8/8/8/5pk1/2K5/5RP1/8/3r4 b - - 38 87
170,10,90782,3.1318,27.9749,0.032,8/8/8/3K1p2/6k1/2R3P1/8/4r3 b - - 48 92
180,10,1271,2.0437,28.0928,0.001,8/8/8/2K2p2/4r1k1/2R3P1/8/8 b - - 58 97
190,10,51762,2.9607,28.2091,0.019,8/8/3K4/5p2/6k1/R5P1/8/4r3 b - - 68 102
200,10,2304,2.1689,28.6016,0.001,8/8/8/5K2/8/5kP1/8/8 b - - 0 107
210,10,1572853,4.1655,37.0243,0.651,r4rk1/ppq1ppbp/6p1/2P1n3/2B1P1b1/2P1BN2/P4PPP/1R1Q1RK1 w - - 3 13
220,10,779418,3.8831,40.4088,0.291,rr4k1/p1q1ppbp/1p4p1/2P5/4P3/1QP1BP2/P4P1P/1R1R2K1 w - - 0 18
230,10,1419472,4.123,45.3064,0.668,rr4k1/4pp2/1B3qpp/2P1b3/P3P3/1Q3P2/5P1P/1R1R2K1 w - - 0 23
240,10,10,1.2589,50.5803,0.0,r5k1/3Rpp2/1QP3pp/8/P3Pb2/5P2/7q/1R4K1 w - - 0 28
250,10,30,1.4051,58.48,0.0,6k1/1R2pp2/2P3pp/8/4Pb2/5P2/1Q2K1q1/8 w - - 1 33
260,10,496,1.8602,59.6467,0.0,6k1/1R2pp2/2P3pp/8/4Pbq1/8/2Q5/3K4 w - - 8 38
270,10,1414215,4.1215,61.5459,0.593,6k1/1Rb1pp2/2P3pp/4q3/4P3/8/2Q1K3/8 w - - 18 43
280,10,488,1.8571,64.8289,0.0,6k1/R3pp2/2P3p1/4b2p/4P3/3KQ3/8/3q4 w - - 6 48
290,10,802796,3.8946,66.5871,0.336,8/2R1ppk1/2P3p1/7p/K2bP3/1Q6/8/2q5 w - - 16 53
300,10,2415769,4.3482,69.48,1.102,2RQ4/4pp2/2P2kp1/1K2b3/4P2p/2q5/8/8 w - - 6 58
310,10,909520,3.9435,71.518,0.36,2R2Q2/4pp2/K1P3p1/6k1/1q1bP2p/8/8/8 w - - 16 63
320,10,121578,3.2247,72.4734,0.046,8/4pp2/2P3p1/K3b1k1/4P3/8/7p/1R6 w - - 2 68
330,10,93505,3.1411,72.6903,0.03,7R/2K1pp2/8/8/4P1p1/6k1/7p/8 w - - 2 73
340,10,1336393,4.0982,73.3667,0.503,8/5R2/4K3/4P3/7q/6p1/6k1/8 w - - 1 78
350,10,113806,3.2034,75.1448,0.038,8/3q4/8/4P3/4K3/6R1/8/6qk w - - 0 83
360,10,302821,3.5328,75.2166,0.085,8/8/4P3/5q2/3K4/8/8/5k2 w - - 5 88
370,10,171938,3.3384,75.2896,0.043,8/4q3/8/3K4/8/2k5/8/8 w - - 6 93
380,10,392098,3.6253,76.0258,0.175,r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N2N2/PPP1BPPP/R2Q1RK1 b - - 7 7
390,10,797503,3.892,77.7428,0.347,r1b2rk1/pp1nqpbp/2p3p1/4p1B1/4P1nP/P1N2N2/1PP1BPP1/R2Q1RK1 b - - 2 12
