############ tt-always ############
engine   snapshots/tt-always
depth    10 fixed, clock 3600000 ms (time is not a factor)
sampling every 5 plies, table NEVER cleared

  ply  depth       nodes    EBF     occ%    sec  position
    0     10   1,264,892   4.08    0.781   0.63  r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2
    5     10     870,928   3.93    3.917   0.41  r1bqr1k1/p1pp1pp1/2p2n1p/6B1/1b2P3/2NB4/
   10     10     293,019   3.52    5.241   0.12  r1bqr1k1/p1pp1p2/2p2n1p/6p1/4P3/2PB2B1/P
   15     10   1,282,038   4.08    9.807   0.52  r1bqr1k1/p1p2p2/2p4p/3p3Q/4nPp1/2PB2B1/P
   20     10     569,758   3.76   11.535   0.24  r1b1r1k1/p4p2/2pp4/3p1P2/4n1p1/2PB2B1/P1
   25     10     733,602   3.86   13.289   0.30  r1b1r3/5pk1/2pp1n2/p2p1P2/5RpB/2PB4/P1P3
   30     10     218,775   3.42   13.732   0.09  r3r3/5p2/b1pp1k2/p2p1P2/6R1/2PB4/P1P3PP/
   35     10     847,953   3.92   15.325   0.36  1r6/5p2/2pp1k2/p2p1P2/6R1/2PPr3/P5PP/3R2
   40     10   1,159,694   4.04   18.357   0.51  8/5p2/3p1k2/p1pp1P2/6RP/2PPr3/P2R2PK/1r6
   45     10     431,965   3.66   19.636   0.19  8/5p2/3p4/R1pp4/6kP/2PPr3/P2R2PK/5r2 w -
   50     10     551,765   3.75   20.961   0.24  6R1/5p2/3p4/2pp4/7k/2PPr3/P2R2PK/5r2 b -
   55     10     101,998   3.17   22.289   0.05  6R1/5p2/3p4/2pp3k/8/2PP2PK/P2R4/4r2r w -
   60     10     160,770   3.32   24.073   0.07  6R1/5p2/3p4/2pp3k/P7/2PP1KP1/3R4/4r1r1 b
   65     10     179,636   3.35   24.383   0.07  6R1/5p2/3p4/2pp3k/P7/2PP2P1/5K2/2r5 w - 
   70     10     235,041   3.44   24.997   0.09  R7/5p2/P2p4/2pp3k/8/r2P2P1/5K2/8 b - - 2
   75     10     105,401   3.18   25.703   0.04  R7/P4p2/3p1k2/3p4/2p5/r2P2P1/4K3/8 w - -
   80     10     113,955   3.20   26.085   0.04  R7/P4p2/5k2/3p4/2p5/r5P1/8/2K5 b - - 1 4
   85     10      41,280   2.89   26.426   0.02  8/2r2p2/5k2/8/2pR4/6P1/8/2K5 w - - 1 50
   90     10      65,969   3.03   26.625   0.03  8/2r5/8/4kp2/2p2R2/2K3P1/8/8 b - - 1 52
   95     10      60,598   3.01   26.793   0.02  8/8/8/5p2/1Kp1k1r1/5RP1/8/8 w - - 6 55
  100     10      17,967   2.66   26.959   0.01  8/8/8/5pr1/1Kpk4/2R3P1/8/8 b - - 11 57
  105     10     147,100   3.29   27.086   0.06  8/8/8/3k1p2/1Kp3r1/R5P1/8/8 w - - 16 60
  110     10      69,152   3.05   27.291   0.02  8/8/8/5pr1/2p1k3/K1R3P1/8/8 b - - 21 62
  115     10      27,867   2.78   27.340   0.01  8/8/8/5pr1/1Kp1k3/5RP1/8/8 w - - 26 65
