agent.py: Numba search successfully imported and active.
agent.py: Numba search successfully imported and active.
engine snapshot: /Users/dannybudiada/Desktop/AIChessHackathon/aichessathon/tools/scratch/longgame-snap
  7d29bc31396ff3d2819d9dbdb6aa42ac1aa0c72e9a3010a554259167b04c35fa  agent.py
  8db41e93b7d4efbb80fb3f987e1d8aca920ec41829762192a7701fac5dae8a37  search.py
  88d79da47ab3ce15233b2153d522148b7a218e834875f28c0a96a55aeb0b16ee  nsearch.py
  d6bb8861c91cd3f59bd4269b07140144482d87c84f4c72148117b8cf93140149  bitboard.py
  c7776dff84ad726ef99787f7a3efb5acd0ee3d980edf5d590117282b2dbbee99  evaluation.py
python 3.13.5  chess 1.11.2
CHESSATHON_REQUIRE_NUMBA=1  USE_NUMBA_SEARCH=None
Warming up Numba JIT...
Warmup complete.
import + JIT: 10.3s   rss 310 MB
start fen : r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
ply cap   : 600   claim_draw=False
numba     : white=True black=True

 ply   mv side   clock_in   budget     used  ratio  clock_out   d     nodes  ttocc%     rss   cnt
   0    9 black   120.00s    5800m    7270m   1.25    112.73s  10  17473531   7.84%    592M     1
   1   10 white   120.00s    5800m    3681m   0.63    116.32s  10   8957689   3.92%    591M     1
   2   10 black   113.23s    5495m    5490m   1.00    107.74s  10  13504687   9.71%    524M     2
   3   11 white   116.82s    5657m    5545m   0.98    111.27s  11  14072984  15.59%    437M     2
   4   11 black   108.24s    5271m    4634m   0.88    103.61s  11  12188833  20.61%    404M     3
   5   12 white   111.77s    5430m    4620m   0.85    107.15s  11  12485483  25.09%    382M     3
   6   12 black   104.11s    5085m    3441m   0.68    100.66s  10   9156684  28.39%    384M     4
   7   13 white   107.65s    5244m    4056m   0.77    103.60s  10  10368742  32.06%    379M     4
   8   13 black   101.16s    4952m    4234m   0.86     96.93s  10  11090904  35.90%    381M     5
   9   14 white   104.10s    5084m    2914m   0.57    101.18s   9   7353236  38.44%    381M     5
  10   14 black    97.43s    4784m    3926m   0.82     93.50s  12  10771318  41.52%    384M     6
  11   15 white   101.68s    4976m    5460m   1.10     96.22s  12  15253940  45.83%    383M     6
  12   15 black    94.00s    4630m   14194m   3.07     79.81s  12  38797187  56.22%    381M     7
  20   19 black    71.96s    3638m    3069m   0.84     68.89s  11   8767176  69.93%    384M    11
  30   24 black    59.48s    3077m    4764m   1.55     54.71s  12  13254899  80.29%    383M    16
  32   25 black    55.21s    2885m    3785m   1.31     51.43s  11  10236264  82.51%    380M    17
  40   29 black    46.95s    2513m    2183m   0.87     44.77s  12   6188320  87.35%    383M    21
  50   34 black    40.35s    2216m    1917m   0.87     38.43s  13   5220041  91.11%    384M    26
  51   35 white    53.35s    2801m    3420m   1.22     49.93s  13   9262554  91.63%    385M    26
  60   39 black    33.30s    1899m    1405m   0.74     31.90s  11   3724324  93.63%    385M    31
  61   40 white    44.17s    2388m    2551m   1.07     41.62s  11   7064983  93.90%    385M    31
  66   42 black    30.59s    1777m    2020m   1.14     28.57s  14   5630574  94.76%    383M    34
  68   43 black    29.07s    1708m    1830m   1.07     27.24s  15   5149293  95.04%    384M    35
  69   44 white    38.21s    2119m    3046m   1.44     35.16s  15   8700355  95.31%    383M    35
  70   44 black    27.74s    1649m    2174m   1.32     25.57s  16   6399325  95.50%    384M    36
  72   45 black    26.07s    1573m    1897m   1.21     24.17s  14   5480124  95.80%    384M    37
  76   47 black    24.11s    1485m    1580m   1.06     22.53s  15   4534543  96.17%    384M    39
  80   49 black    22.34s    1405m    2226m   1.58     20.11s  15   6330258  96.61%    384M    40
  85   52 white    28.88s    1700m    2359m   1.39     26.52s  15   6645875  97.00%    385M    41
  86   52 black    19.18s    1263m    1672m   1.32     17.51s  15   4777432  97.09%    385M    41
  -- the real referee would have stopped here: ply 87 threefold_repetition; the clock instrument continues
  90   54 black    17.32s    1180m     724m   0.61     16.60s  15   2015942  97.32%    385M    41
  92   55 black    17.10s    1169m    1383m   1.18     15.72s  16   3775238  97.45%    385M    41
  94   56 black    16.22s    1130m    1517m   1.34     14.70s  16   4329474  97.56%    386M    41
  99   59 white    22.20s    1399m    1924m   1.38     20.27s  17   5505184  97.82%    385M    41
 100   59 black    14.26s    1042m     972m   0.93     13.29s  16   2578334  97.86%    385M    41
 101   60 white    20.77s    1335m    1437m   1.08     19.34s  16   3967903  97.91%    385M    41
 105   62 white    19.56s    1280m    1768m   1.38     17.79s  15   5085326  98.06%    384M    41
 108   63 black    12.77s     975m    2753m   2.82     10.02s  17   7801724  98.22%    382M    41
 110   64 black    10.52s     873m     767m   0.88      9.75s  16   2167924  98.26%    384M    41
 114   66 black    10.08s     854m    1269m   1.49      8.81s  17   3646923  98.38%    385M    41
 116   67 black     9.31s     819m    1287m   1.57      8.03s  17   3449768  98.44%    385M    41
